datetime,sigai,bucket,index
2024-01-30 14:52:00,0.00980656,08:10 - 16:10,1215
2024-01-30 14:53:00,0.00981106,08:10 - 16:10,1215
2024-01-30 14:54:00,0.0097889,08:10 - 16:10,1215
2024-01-30 14:55:00,0.00977223,08:10 - 16:10,1215
2024-01-30 14:56:00,0.00975556,08:10 - 16:10,1215
2024-01-30 14:57:00,0.0097689,08:10 - 16:10,1215
2024-01-30 14:58:00,0.00973973,08:10 - 16:10,1215
2024-01-30 14:59:00,0.0097499,08:10 - 16:10,1215
2024-01-30 15:00:00,0.00973906,08:10 - 16:10,1215
2024-01-30 15:01:00,0.0097359,08:10 - 16:10,1215
2024-01-30 15:02:00,0.0097079,08:10 - 16:10,1215
2024-01-30 15:03:00,0.00970656,08:10 - 16:10,1215
2024-01-30 15:04:00,0.00970073,08:10 - 16:10,1215
2024-01-30 15:05:00,0.00969373,08:10 - 16:10,1215
2024-01-30 15:06:00,0.00966473,08:10 - 16:10,1215
2024-01-30 15:07:00,0.00964206,08:10 - 16:10,1215
2024-01-30 15:08:00,0.0096034,08:10 - 16:10,1215
2024-01-30 15:09:00,0.0095879,08:10 - 16:10,1215
2024-01-30 15:10:00,0.00958373,08:10 - 16:10,1215
2024-01-30 15:11:00,0.0095989,08:10 - 16:10,1215
2024-01-30 15:12:00,0.00959256,08:10 - 16:10,1215
2024-01-30 15:13:00,0.00957823,08:10 - 16:10,1215
2024-01-30 15:14:00,0.00957373,08:10 - 16:10,1215
2024-01-30 15:15:00,0.00955523,08:10 - 16:10,1215
2024-01-30 15:16:00,0.00954773,08:10 - 16:10,1215
2024-01-30 15:17:00,0.00953423,08:10 - 16:10,1215
2024-01-30 15:18:00,0.00953556,08:10 - 16:10,1215
2024-01-30 15:19:00,0.0095464,08:10 - 16:10,1215
2024-01-30 15:20:00,0.00952806,08:10 - 16:10,1215
2024-01-30 15:21:00,0.00952806,08:10 - 16:10,1215
2024-01-30 15:22:00,0.00952506,08:10 - 16:10,1215
2024-01-30 15:23:00,0.00953973,08:10 - 16:10,1215
2024-01-30 15:24:00,0.00952473,08:10 - 16:10,1215
2024-01-30 15:25:00,0.0095239,08:10 - 16:10,1215
2024-01-30 15:26:00,0.00951323,08:10 - 16:10,1215
2024-01-30 15:27:00,0.0095274,08:10 - 16:10,1215
2024-01-30 15:28:00,0.00951956,08:10 - 16:10,1215
2024-01-30 15:29:00,0.00950923,08:10 - 16:10,1215
2024-01-30 15:30:00,0.00947723,08:10 - 16:10,1215
2024-01-30 15:31:00,0.00947156,08:10 - 16:10,1215
2024-01-30 15:32:00,0.0094814,08:10 - 16:10,1215
2024-01-30 15:33:00,0.00946673,08:10 - 16:10,1215
2024-01-30 15:34:00,0.0094559,08:10 - 16:10,1215
2024-01-30 15:35:00,0.0094554,08:10 - 16:10,1215
2024-01-30 15:36:00,0.00946823,08:10 - 16:10,1215
